,movie,summary
214,1118700-adaptation,adult stuff only but hilarious and fresh  both kaufmans are played by nicolas cage  whose goofy  moon faced sincerity has never been put to funnier use  few recent movies have conveyed so forcefully how people can feel shut out by their own lack of passion  how they yearn to end the emptiness  
215,promises,at times an almost unbearably moving portrait of innocence lost and how ideologies easily infect young minds  
216,trials_of_henry_kissinger,in a larger sense  this powerfully muckraking film is about the accountability of public figures and about how  in regard to international justice  there can be no exceptions  eugene jarecki amasses a compelling body of evidence suggesting that kissinger should be formally investigated for a possible role in the cia supported coup  even if the case against kissinger is not fully convincing  the documentary keeps you glued to your seat and thinking long after you ve left the theater  scores by marshaling facts that speak for themselves  and they don t speak kindly  takes a fresh and absorbing look at a figure whose legacy had begun to bronze  deploying a seamless blend of talking head interviews  trenchant archival photographs and newsreels  topped off by a sheaf of newly declassified u s  government documents  gibney and jarecki are smart enough to let the evidence and experts do the talking  not everyone will welcome or accept the trials of henry kissinger as faithful portraiture  but few can argue that the debate it joins is a necessary and timely one  enjoyably fast moving  hard hitting documentary  
217,infernal_affairs,the pace and plot are dizzying  but the movie also works as a study of fractured identity  the two have led double lives so long they re no longer sure who they are  ultimately quiet tepid  it overflows with psychological intrigue  something often missing from such offerings  
218,talk_to_her,almodovar uses the characters  unlikely predicaments to show how we define ourselves by narration  but his story is so overdetermined that ultimately the two men seem as constrained as their brain dead sweethearts  you ll end up moved  
219,bloody_sunday,the handheld camerawork and bleached out color palette suggest something more akin to combat footage  and candid moments recorded on the sly give bloody sunday a chilling realism  greengrass has achieved such immediacy that it s hard to believe that what we re watching isn t really unfolding before our eyes  
220,broken_wings_2002,this is a story that would be compelling  no matter what the locale  it s not until the film is over that we fully appreciate the originality of an israeli film that focuses completely on the family crisis while leaving politics behind altogether  broken wings has heart and a poetic soul  bergman s debut feature is tender yet disturbing  sad yet at times funny  well made  if rather predictable  new age melodrama  writer director bergman s debut doesn t have stylistic pizazz  and some of its scenes sag a little under the weight of mournful music  but the story is told with stirring simplicity that builds momentum  the performances are uniformly strong  broken wings tells the kind of story that only a cinematic neophyte would find novel  but it tells that story with such emotional nuance  and with such fine performances  that it somehow feels fresh  while there s nothing ordinary about bergman s accomplished family story  the line resonates with the director s own philosophy  a believable  tender story of how a terrible crisis can turn out to have a positive  transforming effect on a family as long as there is love  maron  a lovely young actress with a gift for soulful silence  does some heartbreaking work  broken wings is not a great film  but it s a good  solid one that should connect with intelligent audiences as strongly here as it did abroad  a sensitive and well observed drama that  while not breaking new ground  marks its director screenwriter as someone to watch  this intimate  warmly made family portrait always feels true  it sounds like a depressing little framework  but the actors give it life  
221,nine_queens,story and style both keep viewers on their toes  driven by a plot that s so tightly wound  we cannot look away for wanting to know what will happen next and who is double crossing whom  if nine queens draws you on a journey that eventually leads up a garden path toward your own suckerhood  it s all the more pleasurable for having done so with such slick expertise  
222,open_hearts,an emotionally honest character piece that avoids moralizing or offering soggy excuses  
223,kid_stays_in_the_picture,this movie is more fun than many of those tall tales that hollywood calls feature films  an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger than life character  should delight anyone who ever wondered how tinseltown really works  the thing about guys like evans is this  you re never quite sure where self promotion ends and the truth begins  but as you watch the movie  you re too interested to care  even if you don t emerge from the film ready to worship at his beverly hills altar  you wind up liking the guy  hugely entertaining from start to finish  featuring a fall from grace that still leaves shockwaves  it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels  
224,chicago,chicago s so engrossing that you even forget to reach out for the coke n  popcorn  now isn t that entertainment  whatever one s qualms about the material  its execution here is rock solid in ways that keep on impressing  right through to the niftiest end credits sequence in years  chicago becomes less of a literal skewering of how celebrity criminals manipulate a rigged game  and more of a pure fantasy  not meant to be taken seriously  as sentimental as a plywood casket  chicago has satirical bite and a mean wit that somehow never obscures its characters  unlikely likability  rob marshall s screen version of the near venerable show looks great  in its razzly dazzly neo fosse way  and sounds good  especially when renee zellweger s gorgeous roxie hart is singing her heart out  the song and dance numbers are calisthenic but unspectacular  with too much fast cutting  and the tone throughout is harmlessly facetious  chicago has so much razzle dazzle that viewers may end up both raised and dazed  it s remorselessly inventive  trying anything fast and sassy to keep you watching  oscar winning satire all about the razzle dazzle  this oscar laden movie rendition  directed by rob marshall  suffers from the kind of ants in your pants mtv editing that prevents you from simply watching and enjoying the musical numbers  marshall betrays the dancing by never letting us see it properly  extremely enjoyable  although it says it all about the 2003 oscars that this was a winner  
225,scratch_2002,pray has really done his subject justice  pray s subjects can wander off into arcane dennis miller esque rants  but he manages to hit the high points and most of the major personalities  should appeal to more than just hardcore hip hop fans  pray has managed to create a historical document accessible enough for novices and credible enough for aficionados  does what a fine documentary does best  it extends a warm invitation into an unfamiliar world  then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively  if you  like me  have never been convinced that spinning and mixing other people s records requires a musical skill  these guys will educate you as they twiddle and tweak like amped up octopi  
226,atanarjuat_the_fast_runner_2002,   a gorgeous landscape movie shot in digital video  which  since it gives equal focus to everything in the frame  turns out to be a terrific medium for depicting the vast  undifferentiated ice fields of the great north  in a time of decadent visual clutter  the stark beauty of these arctic landscapes is bracing  the performances of all the roles are better than we might have expected  sincerity pulses throughout  the assurance from these people that they are enacting a legend that is significant to them  from its mystical mythical opening to the stunning finale  this is storytelling at its most primal and filmmaking at its most original  compelling as it is exotic  fast runner has a plot that rivals shakespeare for intrigue  treachery and murder  it may be the most satisfying experience you ll have at the movies this year  the kind of primal storytelling that george lucas can only dream of  few three hour films manage to be so engaging  or so vast  an experience so engrossing it is like being buried in a new environment  a landmark movie that becomes a priceless entryway into a distant land and its people  few of whom will ever seem as foreign and far away again  it takes us to a world we ve never seen  to tell us a story both entirely foreign and completely familiar  at nearly three hours long  it s an endurance test  both a thrilling adventure about endurance and survival  and an elegiac examination of centuries old tribal culture  fast fading in the new millennium  the film is filled with unquestionable grace and power  one of the most enthralling three hours you ll ever spend at the theater  
227,standing_in_the_shadows_of_motown,the funk brothers seem to have hardly missed a beat  there have been better documentaries to come out this year  but none can touch this one for unadulterated pleasure  try as you might to resist  if you ve got a place in your heart for smokey robinson  this movie will worm its way there  you may not end up dancing in the street  but don t be surprised if you cut a step or two in the parking lot  the movie lets us realize this sound  still so alive and vibrant today  was created by flesh and blood people  each of whom has a compelling story to tell  when all is said and done  there ain t no mountain high enough that should keep you from getting to this movie  when the old guys sit around and tell their stories  standing in the shadows of motown catches magic on the screen    a behind the curtain peek at some of the world s best loved music  straight from the cats who made it happen  after watching it  you can only love the players it brings to the fore for the gifted but no nonsense human beings they are and for the still inestimable contribution they have made to our shared history  gives credit where credit s due  
228,the_weather_underground,if names such as bernadine dohrn  bill ayers  mark rudd  naomi jaffe and brian flanagan mean nothing to you  you ll definitely want to see the thought provoking documentary  the weather underground  directors sam green and bill siegel expertly limn the forces that gave rise to weatherman and clearly sympathize with the group s motivations  at the same time  they don t stint on weatherman s follies  whose side the documentarians are on is never clear    in a muddy rather than an ambiguous way  did anyone die from the weathermen s bombings  we don t find out here  an eye opening look at idealism taken to extremes during one of the most turbulent periods of american history  what s forceful about the weather underground is how effectively the filmmakers convey the violent zeitgeist of those years  a compelling piece of work that turns out to have unexpected relevance to the current world situation  a fascinating window into american political history  the weather underground chronicles those early days of idealism  and their transition into a period when american society seemed for an instant on the point of revolution  what it needs is more context  social and psychological  powerful and surprisingly timely  this terrifically smart and solid piece of filmmaking lets the former weathermen  now in their 50 s and older  speak into the camera and reveal a bit of their personal histories as well as what the peace movement meant to them  filmmakers sam green and bill siegel tend to shy from tough questions  allowing their subjects to wax nostalgic about bomb throwing as yet another youthful folly of the  70s  sam green and bill siegel s often gripping documentary manages to evoke the particular quality and extent of the madness that possessed many americans during the course of the longest foreign war in the nation s history  
229,alias_betty,miller tells this very compelling tale with little fuss or noise  expertly plucking tension from quiet  at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance  
230,lantana,lawrence cast well and gets terrific performances all the way up and down the line  solving the mystery of the dead body would be enough for most hollywood movies  in lantana  it s merely a device to launch us into more rewarding explorations  lantana is so rich in secondary characters and performances it s hard to mention them all  but you will certainly appreciate them  the thorns in this film prick real blood  the color of which too few films can or care to examine  it is fine stuff indeed  has a refreshingly keen ability to see everything from multiple angles  remarkably non bummer viewing  bleak as its outlook is  it s not so much psychodrama as psychocomedy of manners  after seeing  lapaglia  in lantana  no one will ever look at him without recognizing an actor of the first rank  
231,rabbitproof_fence,its adult themes of familial separation and societal betrayal are head and shoulders above much of the director s previous popcorn work  the movie may sound like a yawn  three girls walk through wind and rain and scrub brush to get back where they belong  but it s not  one of 2002 s most memorable imports  sampi rarely faces the camera  her gaze eludes us  but her strength and willfulness jump off the screen  noyce creates a film of near hypnotic physical beauty even as he tells a story as horrifying as any in the heart breakingly extensive annals of white on black racism  
232,murderous_maids,sylvie testud gives such a ferociously controlled performance that the messy murder seems like a necessary release  julie marie parmentier and sylvie testud are eerily convincing as the intense pair of co dependents in the rigorous but creepy drama murderous maids  convincingly played  but some way short of revelatory  never inspires more than an interested detachment  though far from a feel good affair  it is never cheap or cynical  its creepiness is well earned  made with spellbinding clarity and tact  shot near the actual locations by an uncompromising cinema realist  and featuring a near perfect cast  the story makes for an absorbing drama that builds in intensity  heading toward the ultimate outburst with a grim sense of inevitability  what  denis  accomplishes in his chilling  unnerving film is a double portrait of two young women whose lives were as claustrophic  suffocating and chilly as the attics to which they were inevitably consigned  murderous maids may well be the most comprehensive of these films and also strike closest to the truth  ultimately too repellent to fully endear itself to american art house audiences  but it is notable for its stylistic austerity and forcefulness  what denis ends up with is a delicate psychological portrait in which his grim determination to be restrained and sensitive is the major feature  denis forges out of the theories of class  based rage and sisterly obsession a razor sided tuning fork that rings with cultural  sexual and social discord  it presents the papin sisters  lives with ferocious clarity  shedding a painful light on emotions too volatile to be named and on actions that ultimately defy explanation  
233,russian_ark,part pageant and museum tour  part theme park ride and historical meditation  
234,the_girl_from_paris,offers proof that silences can speak volumes  the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset  
235,cockettes,joyously re creates the brief but resplendent reign of the legendary freakadelic drag troupe  cockettes has the glorious  gaudy benefit of much stock footage of those days  featuring all manner of drag queen  bearded lady and lactating hippie  as weber and weissman demonstrate with such insight and celebratory verve  the cockettes weren t as much about gender  sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel  connect and create  an insightfully cheeky entertainment  this expert  heartfelt movie establishes them as being as much a part of swingin  san francisco as the grateful dead or the beats  manages to transcend the sex  drugs and show tunes plot into something far richer  it celebrates the group s playful spark of nonconformity  glancing vividly back at what hibiscus grandly called his  angels of light   an irresistible documentary look at the ensemble of the moment in the hippie kingdom of san francisco  this comprehensive and charming film not only recalls those days exactly  it also manages the wonderful trick of taking us back there along with it  it turns out there is quite a lot that the endlessly recycled and diluted images of the storied counterculture have obscured about some of the most interesting and vital parts of the culture itself  which the filmmakers have brought triumphantly to life  a sweet natured reconsideration of one of san francisco s most vital  if least widely recognized  creative fountainheads  
236,roger_dodger,we journey from appreciating roger as the ideal over drinks conversationalist to someone we would cross the street to avoid  scott s low key portrayal makes roger interesting  roger is not a character we are really meant to like  but how much one likes this movie may ultimately depend on the extent to which you are able to remain in the same room with him  doesn t really add up to much  the terrific and bewilderingly underrated campbell scott gives a star performance that is nothing short of mesmerizing  an unusually smartly written and performed american independent film  
237,about_schmidt,these filmmakers have a feeling for the isolation of blasted lives  but they also can t resist putting them down  nicholson  emphatically off autopilot and acting entirely without vanity  perfectly captures schmidt s fear  loneliness and fervent hope that his life is worth more than he s come to assume  the movie is our story as much as it is schmidt s  no matter if it s viewed as a self reflection or cautionary tale  a road trip of self discovery  by turns hilarious and poignant  for a man unexpectedly at odds with the tiny world he has so laboriously made  
238,baran,more timely than its director could ever have dreamed  this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders  desperate for work and food  
239,lilo_and_stitch,regrettably  towards the end the film veers off into a mess of weird aliens and cartoon network silliness  all the sentiment and charm you d expect from a disney movie  but easier to swallow thanks to mature themes and realistic characters  cheerful but below par  an entertaining and  three cheers  modest bauble that eschews most of the blockbuster trappings that have been strangling animated features in the past few years  a refreshingly low tech cartoon  mostly the film is just hectic and homiletic  two parts exhausting men in black mayhem to one part family values  this movie is by no means a classic in absolute artistic terms  but as a reaffirmation of all but forgotten verities it s an unqualified success  fresh and rainbowy as a midday hawaiian sun shower  with its feel good plot  superior art direction and memorable characters  lilo   stitch could well become one of those timeless disney classics  one that sticks around for decades and never loses its appeal  for all the weighty issues involved  this movie remains very entertaining  full of elvis songs and scenes that will make both parents and kids laugh  a tiresome feature that could be made into a wonderful 20 minute film  a beguiling splash of pastel colors and prankish comedy from disney  by turns endearing and hilarious  lilo   stitch is proof the folks at disney should break their own rules more often  
240,lovely_and_amazing,michelle isn t an easy woman to relate to let alone like  yet as the film progresses i was drawn more and more towards her inner warmth and charm discovering pieces of myself in her own persona  
241,late_marriage,a romantic comedy enriched by a sharp eye for manners and mores  a terrific  thoroughly engrossing motion picture  one of those welcome visitors  a movie that turns out to be much more than we expected  a closely observed  somewhat funny  ultimately very sad movie  late marriage s stiffness is unlikely to demonstrate the emotional clout to sweep u s  viewers off their feet  ashkenazi and elkabetz are sensational in the lead roles  unfolds in a low key  organic way that encourages you to accept it as life and go with its flow  an unforgettable look at morality  family  and social expectation through the prism of that omnibus tradition called marriage  it feels like a devastatingly honest portrait of how old world family loyalties are both a haven and a prison    for two generations  a seriocomic debut of extravagant promise by georgian israeli director dover kosashvili  late marriage is not a one level film  and one of its most revealing moments shows the strong minded mother expressing respect for the equally iron willed judith  judith and zaza s extended bedroom sequence     is so intimate and sensual and funny and psychologically self revealing that it makes most of what passes for sex in the movies look like cheap hysterics  will assuredly rank as one of the cleverest  most deceptively amusing comedies of the year  features one of the most affecting depictions of a love affair ever committed to film  
242,i_am_trying_to_break_your_heart,woven together handsomely  recalling sixties  rockumentary milestones from lonely boy to don t look back  jones has crafted a natty narrative that  enhanced by erin nordstrom s editing  is filled with payoffs  an exciting and involving rock music doc  a smart and satisfying look inside that tumultuous world  
243,harry_potter_and_the_chamber_of_secrets,blood is splattered on walls  pre teen students are turned to stone  a poltergeist ian tree tries to smash our heroes  spiders rampage across the dark forest and a giant snake cruises menacingly through dank catacombs  
244,monsters_ball,the best thing marc forster s direction does is take these characters through their experiences at a convincingly naturalistic respiratory rate    
245,1120292-spider,although languid to a fault  spider offers some payoff for those with enough patience to stick it out  definitely a trip into unexplored territory  spider isn t nearly as disturbing as it is intriguing  despite its subject matter  a dark  brilliant journey into memory and schizophrenia whose peeled back layers reveal an unexpected heroism  cronenberg manages a scrupulously constructed version of mcgrath s novel about a schizophrenic  a restrained and elegant piece of work from a director whose name is more readily associated with goo and gore  an eensy weensy movie sustained by two utterly gigantic performances  cold as the film may seem  cronenberg s nightmare talent has rarely been at such a high  terrifying boil  
246,bourne_identity,liman takes a giant step toward hackdom with his banal big budget adaptation of robert ludlum s 1980 espionage thriller  
247,24_hour_party_people,rave and dance music aficionados will be pleased to see an important chapter in their cultural history  a formally dazzling  breathlessly profane love letter to punk attitude that recalls every rockumentary from a hard day s night to this is spinal tap while remaining fiercely  defiantly original  winterbottom captures the spirit of the times  although the film s camera shakes and psychedelic colour bursts may make many viewers feel like reaching for gravol rather than ecstasy  great good fun even if you spent the 1980s listening to loverboy  
248,narc,if carnahan keeps wrenching this material back an inch or two from clich  it s only an inch or two  jason patric and ray liotta make for one splendidly cast pair  
249,1112954-rookie,deftly constructed to stoke the baseball phenom fantasies of coulda shoulda woulda middle aged guys and fields of dreaming young diamond studs  
250,blind_spot_hitlers_secretary,you almost feel as if satan s personal assistant had decided to pull up a chair and tell all  is it possible not to be interested  for junge  even 60 years later she still has trouble forgiving the 22 year old woman she once was for being seduced by that influence  makes us wonder  in a very human sense  about the various blinders we all adopt to make our peace with life  you won t take your eyes off frau junge s pale  intent face  as in a steady voice she tells an astonishing tale  a chilling documentary that draws its impact purely on junge s personal testimony  perhaps most distressing to subject and audience alike is the way one can be at the epicenter of history and still remain blind  both because the actual evil is happening elsewhere and because it s easier to not look  
251,lawless_heart,shows us small revelations only an opened heart can grasp  
252,one_hour_photo,one hour photo is a very well made thriller  it shows us robin williams extending his acting range into unusual and disturbing material  and as well as causing acute anxiety in its last reels  it delivers a more moral message than most of its kind  this immaculately made first feature from noted musicvid and commercials director mark romanek provides robin williams with one of his creepiest  atypical roles  and the comic star responds with an unusually restrained performance    it has arresting things to say about how the family photo is used less to record than to project  and how far that projection can be from the truth  robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side  not entirely satisfying as either a creepfest or a character study  the craftsmanship is so strenuously neat that every frame should be awarded a gold star  but there isn t a breath of spontaneous life  ranks among willams  best screen work  it begins by scaring you to death by evoking a monster  and by the end it has seduced you into caring for him  for all its merits  one hour photo winds up as just another exercise in genre  although an assured and effective one  williams finally gets a role so smartly written we forget not only that we are watching williams the dramatic actor  but that we are watching williams at all  a thought provoking  artful accomplishment by writer director mark romanek  who reveals a powerfully understated vision of the haunting loneliness behind the forced cheerfulness of the discount store  
253,metropolis_2002,unlike most anime  whose most ardent fans outside japan seem to be introverted young men with fantasy fetishes  metropolis never seems hopelessly juvenile  has an almost stupefyingly intense visual impact  
254,road_to_perdition,the film feels alternately cloaked in heavy wood paneling or soaked in cold chi town slush  
255,the_royal_tenenbaums,the tenenbaums s self referential outlook  wayward agendas  wanton destructiveness and wishful fantasy make for a highly entertaining spectacle  provided you acknowledge you re watching a churning status quo that will never alter in essentials  while the situations sometimes feel forced  anderson has mounted an elegant production  beautifully filmed and accentuated by pleasant narration from alec baldwin and classy storybook transitions  quirky extended family story with dry adult humor  
256,son_of_the_bride,it would seem that wherever there are middle class  midlife crises to be suffered  there are movies to be made about those crises  and they somehow all manage to transcend their local trappings in favour of a kind of borderless emotional banality  what starts off as a possible argentine american beauty reeks like a room stacked with pungent flowers  jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor  bittersweet pathos  and lyric moments that linger like snapshots of memory  
257,la_stanza_del_figlio,like a good shrink  moretti watches with an unflinching but compassionate eye  we are given characters so gentle and so human that we become instantly fond of them  moretti is interested in simple behavior  captured at a polite but insightful distance  and this quiet  subtly moving drama says more about the qualities that make us human with a whisper than most other movies can say with a shout  stands apart for its raw  quiet emotion and its shattering sense of truth  
258,springtime-in-a-small-town,only a director who truly knows repression could have made a movie so subtle and so understanding  reinventing his source just as boldly as he has reinvented his artistic identity  tian circumvents the usual mentality of remakes by making his material brand new  tian gets superbly nuanced performances from an inexperienced cast and choreographs his ensemble scenes with considerable self assurance  a gorgeous love story set in a battle scarred house in china in the spring following the end of world war ii  although its tone is more dreamy than steamy  this film oddly seems a product from the same heated template as a william inge or tennessee williams drama of the early 1950 s  exquisitely made love story  which marks the welcome return after 10 years of inactivity by director tian zhuangzhuang  well served by the performances of its lead trio  all are relative newcomers to film acting  yet they subtly convey the suppressed longings beneath their characters  polite faades  this is tastefully boring festival fare  strictly for those who like their movies slow and their subtitles prominent  connoisseurs of chinese film will be pleased to discover that tian s meticulous talent has not withered during his enforced hiatus  
259,good_girl,white hasn t developed characters so much as caricatures  one dimensional buffoons that get him a few laughs but nothing else  
260,barbershop,the script really should have been given a trim  as it tries to cram in so many characters that few are given the time and space to develop  in the age of photo messaging and web chats  barbershop is a warm hearted reminder that there s nothing like conversation between real people  a flat out hilarious ensemble comedy that probably made me laugh out loud more than any other movie this year  towers head and hairpiece above much of what passes for urban comedy these days  
261,kissing_jessica_stein,venturesome yet unthreatening  this movie is box office smart enough to seem cutting edge without ever drawing blood  
262,elling,rather than real figures  elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the naf s encounter with the world  ellefsen and nordin originated their roles on an oslo stage  resulting in two lived in character portrayals which lend this offbeat comedy a sweet sincerity  that neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions  defined by childlike dimness and a handful of quirks  
263,real_women_have_curves,though i fault real women s clumsy execution  its message will continue to resonate until scenes where women clutch their thick midsections in celebration are no longer exceptional  there is more joy in two frames of cardaso s film than most mainstream comedies can muster in 90 minutes  it s anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother daughter pair  
264,morvern_callar,ultimately provides little resolution for our tough heroine  and the way the film visualizes this discontent continues to haunt at least one viewer  maintains your sympathy for this otherwise challenging soul by letting you share her one room world for a while  even if both films are about accidental sinners  morvern callar turns out to be a very different  and more difficult  film than ratcatcher  too often mistaking obscurity for complexity and moodiness for depth  director lynn ramsay squanders an intriguing premise and a layered performance by samantha morton  
265,margaret-cho-notorious-cho,a hit  and miss affair  consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped  she needs us far more than we need her  
266,the_believer,an exploration of what it means to be jewish and what it means to hate   two separate subjects that happen to overlap in this case  one of the year s most thought provoking  hard hitting films  gutsily opening up a subject rarely done with this kind of all out chutzpah  a somewhat crudely constructed but gripping  questing look at a person so racked with self loathing  he becomes an enemy to his own race  easily the most thoughtful fictional examination of the root causes of anti semitism ever seen on screen  an amazing and incendiary movie that dives straight into the rough waters of contradiction  mr  bean s diagnosis of jewish self hatred in the believer may be misdirected in the present circumstances  
267,punchdrunk_love,odd romantic journey for adults and older teens  nothing makes much sense  and the watson character would have run a mile from sandler  who performs like jerry lewis at his least endearing  anderson has a firm grip on sandler s dangerous essence and draws it out in an astonishing performance  audiences are likely to feel a bit punch drunk themselves as they try to make sense of this odd romantic journey with its offbeat dualities  combining extremes of chaos and harmony and love and anger  the journey toward redemption feels more like a cinematic experiment than a full blown movie  despite its title  punch drunk love is never heavy handed  the jabs it employs are short  carefully placed and dead center  punch drunk love knows how to reap epic delight from the most precious of details   anderson  uses a hit or miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense  director paul thomas anderson hasn t reinvented sandler  he s just allowed those of us who tired very quickly of his innocent naif shtick to see how effectively it can be put in the service of something to care about  everything about punch drunk love works in a being john malkovich sort of way save one  sandler  when your star doesn t work  it s hard to get us to buy into the rest of a movie as unusual as this  in punch drunk love  adam sandler doesn t so much discard his old persona as illuminate it  breathing life into the cardboard characters that populated his earlier films  how odd that a tribute to a wildly theatrical presence should turn out so dull and prosaic  
268,hours,david hare s screen adaptation reduces woolf and her art to a set of feminist stances and a few plot points  without reference to style or form  as stunning an acting showcase as you ll find  the acting  for the most part  is terrific  although the actors must struggle with the fact that they re playing characters who sometimes feel more like literary conceits than flesh and blood humans  virtually humorless and extremely talky  the movie takes place during one day in each woman s life  although it moves so slowly it often feels like a week  
269,stuart_little_2,no doubt  it can be a perfect escapist fare if you re riddled with self doubts and is fairly delightful even though you know that the reality outside the 70 odd minutes is not so rosy  at 78 minutes it just zings along with vibrance and warmth  it reminds us that nathan lane is the best show stealer in show business  
270,1117377-all_or_nothing,mike leigh goes spelunking in search of the english soul  finds gold  for close to two hours the audience is forced to endure three terminally depressed  mostly inarticulate  hyper dysfunctional families for the price of one  the film feels uncomfortably real  its language and locations bearing the unmistakable stamp of authority  leigh makes these lives count  and he allows a gawky actor like spall    who could too easily become comic relief in any other film    to reveal his impressively delicate range  the more you think about the movie  the more you will probably like it  with one exception  every blighter in this particular south london housing project digs into dysfunction like it s a big  comforting jar of marmite  to be slathered on crackers and served as a feast of bleakness  leigh has created another remarkable work  up there with his best  leigh s sympathy for the working poor is unmistakable and unassailable  but the tragic grandeur with which he imbues their pain hovers dangerously close to condescension  we re back on the social and emotional turf that leigh knows best  these people are real as few movie characters ever are  grueling  heavy handed  and surprisingly insight free  leigh s daring here is that without once denying the hardscrabble lives of people on the economic fringes of margaret thatcher s ruinous legacy  he insists on the importance of those moments when people can connect and express their love for each other  a triumph  a film that hews out a world and carries us effortlessly from darkness to light  
271,drumline,outstanding cast  great message  strong language  offers little that s surprising or groundbreaking  but  because the script is smart enough not to insult us and to develop a group of interesting characters  the act of watching the film is an entertaining experience rather than a tedious exercise  i love that we get into this world of marching bands  we barely see any football players    we see the top of their helmets as they re getting out of the way  in the film  snappily directed by charles stone 3d  the marching bands  duels are as fun as the cheerleader wars in bring it on  maybe you ve seen most of these things before  but you ve rarely seen them in such an exuberant setting  rife with nutty cliches and far too much dialogue  drumline has a lower profile than almost any other holiday movie  yet it boasts a higher fun quotient than many of its more touted competitors  not exactly worth a drum roll but a movie with enough collegiate ka boom to earn its title  drumline is a percussion driven musical variation on every sports pic you ve seen about the talented hot dog who eventually learns to become a team player  
272,pauline_and_paulette,a worthwhile glimpse into how humans can begin to become whole  petersen and van der groen play affectingly against each other in this geriatric heartwarmer  
273,satin_rouge,the powder blues and sun splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly dancing clubs  
274,better_luck_tomorrow,perpetuates another stereotype  the one about affluent suburban teens who have everything they could ever want but so lack a moral compass that even murder seems like just another extracurricular activity  
275,secret_ballot,the filmmaker s greatest achievement is that he avoids preaching or taking sides and deftly proves that the weightiest issues can still come tinged with humor and irony  babak payami s surreal  episodic road comedy holds our attention to alternating degrees  hamstrung by the flat footedness of his two leads  will amuse and provoke adventurous adults in specialty venues  
276,sunshine_state,a fiercely intelligent south florida mosaic  sunshine state resembles sayles  sketchbook more than his finished work  and we might hope that something more polished might spring from it  because we are so familiar with the conventional approach to a story like this  it takes time to catch on that sayles is not repeating the old progressive line about the little guy against big capital  
277,gigantic,prepare yourself for nights wandering around the house singing unshakable tunes  the flabby  fawning film gigantic comes across as 102 minutes of rib nudging by one of the duo s annoyingly self satisfied connoisseurs  as tooting your  own horn documentaries about innovative alt rockers who ve been around for 20 years go  gigantic  a tale of two johns goes very well indeed  musician syd straw unintentionally strikes truth when she sardonically asks about the film   is this more like a fluff piece   if you thought that the party down metalheads in the decline of western civilization ii were full of themselves  just wait until you enter the echo chamber of whimsical egomania that is alt rock attitude  
278,8_women,seduction is more important than deduction in this chic display of star quality to the eighth power  for all the tumultuous entrances and flouncing exits  the eight principals manage maybe three laughs among them  ozon s notion of derision is perfectly carried out by his multi generational name cast  some may find ozon s rigorously clever deconstruction of so many conventions a little too french for their tastes  but cineasts and worshippers of les femmes at their most fatales will find this farce wonderfully fierce  the film starts to feel like decorative misogyny  each performance is beautifully controlled  notably huppert s devastating comic turn as augustine  and integrated into a seamless ensemble  leave your sense of reason at the door and surrender yourself to the oo la laughs  for pure camp  intentional or otherwise  this is right up there with the rocky horror picture show  
279,antwone_fisher,devastating story of abuse based on real life  washington makes his directorial debut with antwone fisher  a fact based biography that deftly pulls the heartstrings  granted  it covers no new ground that other psychiatrist patient films haven t gone before  the acting helps push the movie past its familiarity into something that rings earnest and true  
280,wild_thornberrys_movie,screenwriter kate boutilier provides plenty of sharp patter  pretty good half term holiday fare  
281,tully,an uncommonly perceptive and finely shaded character drama  if you can push on through the slow spots  you ll be rewarded with some fine acting  
