,movie,review
438,kitchen_stories," Best thing since sliced bread.  ""(***): [img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]"
439,mean_creek,"  ""There are things in this movie that wouldn""t normally work— but do. Most likely thanks to Mean Creek""s bluntness.\n7.2/10  ""A film that I consider to be a very important and fantastic coming-of-age/drama film that is a must watch for everyone.  ""A film that I consider to be very imporant, and fantastic coming-of-age/drama film that is a must watch for everyone."
440,my_summer_of_love,"  ""Quite good performance  ""english accent movies.....ewwwww."
441,shaolin_soccer," it was epic, this movie made my pee pee grow 15 feet  ""One of my most rewatched movies of all time.  ""This movie is just hilarious."
442,metallica_some_kind_of_monster," Great music documentary.  ""Not a huge fan and was wondering for a while if I need to be to get it, nope."
443,bad_education,"  ""Boring film. No plot.   ""Brilliant movie. ð??? ð??? ð??? ð??? ð???"
444,the_corporation_2004," One word: indoctrination  ""Equal parts enlightening AND horrifying."
445,house_of_flying_daggers," The music is so out of this world, the story is good too.  ""Out of Zhang Yimou‘s films I seen it""s the weakest but it""s still a visual masterpiece  ""Beautiful, a not very original story compensated by amazing visual directing."
446,woodsman,"  ""1.22.19 dvd @ home w/Sh & J  ""Kevin Bacon brings this tense portrait to life.  ""Loved how one becomes understanding and empathetic towards him in the end.  ""Pretty well acted, underrated af movie"
447,garden_state," This did not age well  ""Using every single cliche  of independent film. Portman is fun, the film is not."
448,kill_bill_volume_2,"  ""Um dos melhores filmes que já assisti!  ""Volume 2 is still a great film!  ""It lacked action and did not end the story well enough.  ""A Wonderful movie, I have to give it a 5 star review!"
449,going_upriver_the_long_war_of_john_kerry,"  ""Always nice to hear about others but my eyes hurt  ""A frustratingly underwhelming doc.  ""A great movie on a great man."
450,dig,"  ""The best Rock Doc ever!!  ""Excellent documentary about The Brian Jonestown Massacre and The Dandy Warhols!  ""A great documentary. makes you want to pick up any instrument and start writing."
451,brothers_2004,"  ""Can""t believe how good this movie is. The Danish version  ""well crafted and executed drama  ""Favorite Susanne Bier film"
452,donnie_darko_the_directors_cut," One of the best films ever made.  ""Enthralling little gem of a movie.  ""makes all the difference, much better than the theatrical cut  ""Ludicrous plot that only works because the movie says it does."
453,james_journey_to_jerusalem," The best israeli movie ever  ""A sometimes funny tale of faith and corruption.  ""Hey! a story with a moral"
454,save_the_green_planet_2004," Totally bonkers - very Korean.  ""Gratuitous Bull Twaddle!  ""unübertroffen verrückt  ""Top-to-bottom hilarious and creative."
455,last_life_in_the_universe,"  ""Unique, memorable mashup of crime and romance.  ""Brilliant and highly under-rated and under-seen film.  ""Ethereal, minimalistic and at the same time warm. Amazing art cinema from Thailand.  ""My all time favorite Thai movie."
456,guerrilla-the-taking-of-patty-hearst,"  """"Unsettling"" is an apt word for describing director Robert Stone\""s documentary.  """"L\""enlèvement de Patty Hearst""  ""fab documentary about the kidnapping and ""brain washing!?"" of PH....makes me want to watch Cecil B Demented again...."
457,distant," So beautiful and sad. Spectacular cinematography.  ""????????????-???????????? ????. ???????? ?????? ??????? ?????? ? ?????? ???????????? ?????.  ""????? ???????????, ???????. ???????????."
458,mean_girls,"  ""one of the worst movies i have ever seen  ""That is so fetch....  ""So many quotable lines."
459,3_iron," Wonderfull!It smelled good!!  ""Surprisingly amazing movie!!  ""I would have to say this is one of the most beautiful and artful adulteries I have ever seen."
460,finding_neverland,"  ""A blend of fantasy and fiction with sincere performances.  ""This movie is about how JM Berry decided to write Peter Pan.  ""It was odd, slow moving and the performances were only ok.  ""It""s beeen a while since a movie has made me feel such a Broad spectrum of emotions"
461,fahrenheit_911," Very entertaining but full of lies.  ""THIS IS AMERICA! AN OLIGARCHY  ""30/05/2020\n\n2.57AM\n\nThree Stars and Half  ""biased af but still worth a watch"
462,touch-the-sound,"  ""Frankly, this is how you shouldn""t make a documentary.  ""good doc/performance piece  ""Striking and bittersweet story of the power of creativity over any and all obstacles."
463,1126416-mayor_of_the_sunset_strip," Kind of a bummer, but well done.  ""An amazing tribute to an amazing personality.  ""Love , Love , Loved it!"
464,crimson_gold,"  ""Written by Abbas Kiarostami and Directed by Jafar Panehi.A Good combination without FAIL...!  ""Intriguing character exploration!"
465,1136293-lightning_in_a_bottle,"  ""could have done without macy gray  ""Possibly one of the best blues concerts ever  ""Has been a fave!it""s good stuff!"
466,in_good_company,"  ""Cute but forgettable.  ""It""s good movie to watch"
467,bourne_supremacy," one of the best action movies of all time, the best in the trilogy.  ""the sequel is enjoyable and compares with the first  ""Felt like there were not enough action scenes for a Bourne movie, didn""t really like it in general."
468,sea_inside," Best Spanish movie ever! Brilliant played, a little sad, but very intense.  ""Melodramatic story that only works because if it""s star.  ""This movie is a mesmerizing piece of art!"
469,the_motorcycle_diaries,"  ""Una medicina para el alma  ""Another masterpiece, a must see  ""Wonderful and insightful  ""Seen 2016ish. no r/w"
470,aileen_life_and_death_of_a_serial_killer,"  ""nuked by asteroid in 2019"
471,bright_leaves,"  ""lots of tobacco history; thought-provoking? mind-provoking?  ""Another interesting look at life!!! and death.  ""Not as good as his others, but still good."
472,yes_men," Amazing Documentary! It shows how corporations are corrupt in a funny manner.  ""Exposing the trash who run our corporations. It""s crazy the press they manage to get.  ""Love these guys!  I donated to their Kickstarter to get this going, pleased to see it on screen."
473,friday_night_lights," It may have a few fumbles, but I""d certainly call this one a touchdown. https://letterboxd.com/josephtomastik/film/friday-night-lights/  ""Love every energy I got from this movie. show us every perspective of people around players."
474,hellboy,"  ""better than most marvel movies   ""Not as good as the 2nd but pretty damn enjoyable. \n\nNo complaints here.  ""I truly enjoyed this movie"
475,monster,"  ""I hated this movie and felt cheated of my free time after watching it.  It was terrible & stupid.  ""A very good film about the infamous WOMAN serial killer, Aileen Wuornos. A great biographical movie.  ""I really liked this movie. Its interesting to see some of the backstory although it is dramatized. But I thought it was really well done."
476,manchurian_candidate,"  ""Ok mediocre movie starring denzel Washington.  ""Well shot and acted, This remake fell into the right hands with Jonathan Demme at the helm."
477,outfoxed_rupert_murdochs_war_on_journalism, Just explaining what everyone already knows
478,wilbur_wants_to_kill_himself," Deeply morbid, deeply morbid. Also, a deeply bookish and moving indie flick.  ""Deeply touch , but mediocre  i would say."
479,miracle,"  ""One of the best sports movies evee  ""The best hockey movie ever made. Very inspirational performances all around, and captures the time period very well."
480,somersault," Makes you think and feel differently.  ""http://seedmagazine.com/content/article/buddhism_and_the_brain/  ""good, but nothing overly impressive."
481,red_lights," Does a lot of great stuff but the story kind of falls apart in the third act. Worth watching though.  ""Cleverly made; the tension between the couple leads well into the suspense of the latter half.  ""A nice diversion with great acting and some good suspense!!  ""The French just do these kind of things so well. Suspenseful and atmospheric and not quite what you expect."
482,ray,"  ""The greatest Jamie Foxx movie ever!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ""It was like looking and listening to a spitting image of Ray Charles  ""It""s not bad but it""s not really that interesting either. It was really similar to Walk the Line.  ""An absolute legend Jamie Foxx delivers from start to finish."
483,up_and_down,"  ""everything goes back to the starting point finally.  ""BLEW MY MIND!  Great intertwining tale of characters!  Cast was great and story surreally funny."
484,broadway_the_golden_age,"  ""Angela talks about Mame and Gypsy.  ""fascinating documentary with an amazing bevy of theatre performers and legends."
485,team_america_world_police,"  ""What a horrible insensitive movie !!!  ""Watching in 2021, it""s fairly dull and formulaic stuff.  ""just funny and daring"
486,a_very_long_engagement_2004,"  ""It lived up to its name for all the wrong reasons.  ""This is the only romantic movie  that i loved and love."
487,saddest_music_in_the_world,"  ""Enigmatic inebriation."
488,dawn_of_the_dead,"  ""Best zombie movie ever!  ""It""s worth a watch. The ending could""ve been better.  ""Fire, for a zombie film!"
489,1144992-crash,"  sem dúvidas, não tem coração.  ""This is so ridiculous we could easily change the name ¨Crash¨ for ¨Trash¨.  ""Too hard to follow. Lots of storylines. Not enough depth"
490,two_brothers,"  ""Growing up this was on of the movies my sister and I watched the most.  ""An interesting tale about how strong family and friendship can be.  ""This is a rather slow story, but the cinematography made up for that."
491,machinist,"  ""Watch it for Christian Bale""s physique if for no other reason.  ""Christian Bale""s performance is great, with a good plot and well-structured characters, it manages to be a complete film."
492,daughter_from_danang,"  ""A true journey into the lives and perspectives of two different points of view. \n\nThis is the perfect case studies of how upbringing, not blood, is what makes us who we are.  ""You think this documentary might be taking you some place predictable, and it ends up being so much more...disturbing.  And complicated.  A fantastic PBS-style shitshow.  4/5.  ""Provocative movie. Did the filmmakers send Heidi into the situation in order to exploit her ignorance? I think it""s more Heidi""s fault. If she did so much research into finding her mother, she should have done just as much research into discovering her culture. It""s just a tragic story all around.  ""Watched this in a women""s history class\nThe lady is so freakin"" selfish! And I feel SO bad for the mother though, she didn""t do anything more than just love and try to protect her child.  ""i could not deal. the scene at the very end - the mother trying to eat without crying - broke me. wish the documentarians could have chosen a better person to follow than this particular ""daughter""."
493,tae_guk_gi_the_brotherhood_of_war," Not a perfect movie, but hands down one of the best films about The Forgotten War ever made.  ""I cried so loud. I love this movie, shoe shine!!!!  ""Phenomenal movie. Korea""s ""Saving Private Ryan""."
494,1132642-mother," Covert narcissist story  ""Different. A little gross. Albeit captivatingly."
495,overnight,"  ""[img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]"
496,goodbye_dragon_inn_2004,"  ""Watching old wuxia movie in an almost empty old seedy theater.  ""ok direction and idea.. but poor plot/characters"
497,being_julia," I thought it was overacted and boring.  ""While there are good performances abound Bening is the driving force behind this entertaining drama."
498,1135882-uncovered_the_war_on_iraq,"  ""Ugh... This movie is totally disturbing.  If you watch this be prepared to be pissed at our pres.  ""Actually a pretty boring documentary, but honest about what really happened.  Why didn""t we impeach him and his cronies?"
499,bon_voyage_2004," Style over substance but that""s pretty good style.  ""not a comedy, not a drama. just in the middle...nice cast and plot.  ""not a comedy, not a drama. just in the middle...nice cast and plot."
500,girl_with_a_pearl_earring,"  ""I thought the acting was strong but the story was not engaging.  ""Never mind, I just like it"
501,murderball,"  ""Insightful but sometimes also sentimental.  ""Very inspirational movie. Very entertaining and great for a sports movie.  ""Emotional, intense, exciting, and it""s a documentary...  ""Very accurate portrayal of life in a wheelchair."
502,wallace_and_gromit_curse_of_the_wererabbit,"  ""The best of the feature-length releases  ""I really love this movie. It""s really worth seeing.  ""Has some flaws, but still good comedy for the whole family.  ""Great entertaining movie with a clever plot!"
503,1152019-good_night_and_good_luck,"  ""What better way to depict the 1950s?  ""Amazing how timely this movie is.  ""Extraordinarily slow, almost to the point of boring."
504,enron_the_smartest_guys_in_the_room,"  ""A must about how great companies cheat the whole world.  ""A documemtary of epic proportions. The eerie feeling it leaves you with lingers for a while. The curiosity it sparks in you will lead you through an intellectual discussion with yourself."
505,march_of_the_penguins,"  ""There was beautiful scenes, but as a movie it didn""t captured my attention at all.  ""A very romantic take on one of the most incredible journeys nature has to offer   ""This film helped me grow more respect for penguins.  ""A classic documentary film!"
506,wild_parrots_of_telegraph_hill," Gruesomely self indulgent in a typically Californian banal manner.   ""Read the book, too.  Great story."
507,kung_fu_hustle,"  ""a classic and a love letter from Stephen Chow to Hollywood.  ""One of the coolest movies ever made "
508,squid_and_the_whale,"  ""As a comedy, The Squid and the Whale is pretty funny. There""s just too much truth in it to make it great movie.  ""One of the worst movies I""ve seen. Not one character with redeeming qualities. This is indie trash to the fullest  ""all the berkman""s need a goddamn family therapist lol"
509,harry_potter_and_the_goblet_of_fire," Funny, original, & romantic!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ""Rating: 7/10. 77/100  ""Loooooveeee iiiiiitttttt"
510,grizzly_man,"  ""He was incredible person. But this film is not as good as Timothy was.  ""Utterly fascinating.  ""Brilliantly tells the extraordinary story of an extraordinary man. Haunting stuff."
511,1151898-capote,"  ""Not a movie you""ll want to watch again and again, but it was a great movie. Great acting.  ""PSH made one of the best performances ever made in cinema, the delicacy and truthfulness he gave the character was simply fantastic"
512,brokeback_mountain,"  ""#Jakeisnotabottom team"
513,ushpizin,"  ""heartwarming and inspiring"
514,history_of_violence,"  ""Good story, nice twists, and powerful scenes. Definitely a keeper  ""It keeps you hooked in."
515,travelers_and_magicians,"  ""S L O W!!!!  Beautiful scenery...great wisdom tidbits....but very very S L O W  ""go, bhutanese cinema, go **  ""i almost saw Akira Kurosawa behind the camera"
516,duma,"  ""One of my all time favorite movies  ""Great scenery, very interesting film.  ""I""m glad they still make movies like this."
517,batman_begins,"  ""A strong start to the reboot of Batman. The darkness in this film is unsettling, which is done very well. The action scenes in this film aren""t as strong as the sequels though.  ""Great acting, great origin, etc., but without the depth of other Batman films.  ""Christopher Nolan understands and creates the best version of batman ever made giving this character the best origin story."
518,water,"  """"Water"
519,10005788-the_sun," Oddly hypnotic and fascinating.  ""Sokurov at his most personal, beautiful and haunting.  ""great cinamatography"
520,our_brand_is_crisis,"  ""This is intense and amazing documentary.  ""An interesting expose."
521,broken_flowers,"  ""Just as solid and creative as ""Lost in Translation  in terms of Bill Murray delivering a wonderful dramatic performance.  ""You can watch this classic as many times as you want and never get tired of it.  ""I hate unsolved mysteries. Funny journey though."
522,head_on_2005,"  ""The greatest film of all time. Not for everyone.  ""A very raw and emotional love story."
523,1167811-ballets_russes,"  ""Outstanding documentary."
524,king_kong,"  ""I only like that the movie is set the year king was created kong fighting and the scene where he laughs at the girl  ""ONE WORD - GREAT\nRun time can be shortened .. Else everything was fine and amazing.  ""fue sorprendente ver el amor entre king kong y una humana, tambien ver subido a king kong en el empire state"
525,millions,"  ""James Nesbitt is a very fine actor.   ""Visually stunning movie. Enjoyable."
526,cache_2005,"  ""The ""chilling"
527,howls_moving_castle,"  ""love it so much. worth watching!!!!!  ""Just wow! Beautiful animation. Beautiful story 10:10"
528,up_for_grabs,"  ""When you are greedy, you never wins.  ""This is funny. Shows how greedy people are. This is entertaining"
529,after_innocence,"  ""this is a really important movie.  ""This doc is bananas!"
530,kiss_kiss_bang_bang,"  ""Rating: 7/10. 70/100  ""MY FAVOURITE MOVIE OF ALL TIME  ""I""d really skip this one.  There are so many other better movies to watch."
531,1153077-1153077-pride_and_prejudice,"  ""This movie captured my heart. It""s the kind of love that""s so well done, well developed, well written, well acted, that your heart might just turn inside out"
532,tristram_shandy_a_cock_and_bull_story,"  ""A film within a film. Not hilarious but enjoyable. Coogan and Brydon are always good to watch.  """"Tristram Shandy"" is a great deal less clever than it thinks it is.  ""Self indulgent rubbish! If this is the best that British comedy can produce then we are in trouble"""
533,paradise_now,"  ""A vivid portrayal of the lives of disillusioned Jihadists, from the Palestinian angle."
534,40_year_old_virgin,"  ""This movie is so stupid and funny! I love Steve Carrell!  ""A hilarious movie that has aged well for 15 years.  ""One of Steve""s best movies and instant classic. Feels dated if watched now though.  ""It was great to re watch this to see some of my favorite actors In such a classic movie. Not hilarious funny, but a fun movie to watch. 4/5"
535,1159353-darwins_nightmare,"  ""Fantastic storytelling. Horrifying reality.  ""Deprimente. http://www.noetmengiselmon.org/spip.php?lang=es"
536,new_york_doll,"  ""Heartbreakingly awesome. A must see for musicians with chips on their shoulders  ""A wonderful documentary 5/13  ""Urgh. How NOT to make a documentary.  Potentially: super-interesting.  Actually: not.  ""Truly heartbreaking story, less than brilliant filmmaker"
537,cave_of_the_yellow_dog,"  ""Cool movie, but way too slow!!  ""seamlessly didactic for a humankind that needs to learn so much more.  ""Truly endearing, that""s all I need to say."
538,charlie_and_the_chocolate_factory,"  ""Beautiful movie with lots of wisdom.  ""It""s not very good.  The first one makes candy seem so wonderful.  This one is just dark and boring."
539,star_wars_episode_iii_revenge_of_the_sith,"  ""Has the best villains of any movie and Obi-wan is always great.  ""i love it i think its the best one  ""The only Star Wars prequel that is at all watchable."
540,corpse_bride," Sensata, a noiva cadáver.  ""I remember liking this long ago at a young age."
541,constant_gardener,"  ""Riveting.  A must see  ""Riveting. A must watch   ""A bit too slow for me"
542,junebug," good !!!!!!!!!!!!!!!  ""Not exactly good, but not exactly bad"
543,tony_takitani,"  ""Based on a short story by Haruki Murakami. Dull.  ""Short, but beautiful movie."
544,the-heart-of-the-game,"  ""Full of motivation! Got so pumped up :D  ""this is a great drama movie  ""great sports documentary"
545,look_at_me," I liked it, not sure why. Verisimilitude perhaps.  ""Uno dei film più divertenti che io abbia mai visto.  ""Interesting character study about a self-absorbed writer and those who surround them.  Really great acting."
546,turtles_can_fly,"  ""That was a masterpiece ♥️  ""remarkable, funny, depressing.."
547,2046,"  ""Wong Kar-wai creates melancholic moods in one of his best films.  ""No es mala... aunque siendo honesto, luego de ""In the Mood for Love"" esperaba algo más.  ""Nice movie, great shots and good acting"
548,tell_them_who_you_are,"  ""Fascinating (and unconventional for the subject matter) but hardly the best-made doc.  ""tell them who you are actually premieres on the documentary channel on july 24th. http://www.facebook.com/search.php?q=the%20dark%20corner%20&init=quick&tas=0.49594548693858087 attend if you""re interested. :)  ""(Watched Thu 26 Apr 2007)"
549,walk_the_line,"  ""One of the best performances by Phoenix ever.  """"Walk The Line"" is a fantastic movie, which, unfortunately, came out in the same year as ""Ray  ""Loved this movie! Great actors, brilliant work."
550,proposition,"  ""One of my favorite Westerns ever.\nElite work by cast and crew.  ""Aussie outback drama with some lovely cinematography touches in what was a hard tough time.  ""2 1/2 is right....it passed the time. Meh.  ""One of the greatest westerns ever made"
551,shake_hands_with_the_devil_the_journey_of_romeo_dallaire,"  ""It was very powerful and at times difficult to watch which I think the best movies are  ""A hero who saved thousands of lives,  guilt-ridden forever, his hands tied by bureaucrats.  ""This movie tells black people that they weren""t forgotten even when it seemed as though they were."
552,beat_that_my_heart_skipped,"  ""I like this movie very much!  ""Great directing great cast  """"CHAOTIC | EMOTIONAL | ORIGINAL | POWERFUL | SPECTACULAR"" (86-out-of-100)  ""Life as it is - struggle and figt."
553,saving_face," Super cringy, but relatable...  respectfully and gracefully ditching the ""face"".  ""you just want to shake everyone in this family !"
554,rois_et_reine,"  ""Simply put: As good as it gets.  ""Good film well written , well directed, great cast.  ""Amalric est toujours aussi impressionnant.  ""Richly textured humane drama..."
555,mysterious_skin,"  ""Personally I found this to be beautifully painful. It sugar coated nothing and the acting was phenomenal."
556,serenity,"  ""Great cast, story, script, and visuals. What is not to like?  ""love this girl, love the acting, love this movie"
557,ongbak,"  ""So awesome. One of the top action movies  ""Great action film with some exceptional martial arts fight scenes"
558,gunner_palace," Stupid, terrible music. Sad to see some get killed. Realistic look at Iraq  ""watched this in class a few weeks ago. Interesting take on the war.  ""The ridiculous narration lowers the tone to the point where it feels like ""COPS: Iraq.""  ""A down-to-earth movie about the lives of soldiers in Iraq. Not sensationalized, not glamorized, not idealized, not criticized."
559,mad_hot_ballroom," Charming if slightly overlong.  ""(***): [img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]  ""I Love this movie its so inspiring"
560,cinderella_man,"  ""A childhood favorite for me.  ""good sports film from the gladiator star."
561,hustle_and_flow," Great movie.  The actors were awsome I bet it was fun making this.  ""That""s right let""s all cheer for an abusive pimp and let""s all hope he gets rich!  ""The performances are a huge asset but it is an unpleasant film with really unlikable characters.  ""HUSTLE and FLOW the BEST MOVIE EVER it""s about how Empire first started"
562,moustache,"  ""5.6/10, my review: http://wp.me/p1eXom-2ql  ""Strange and intriguing."
563,1153719-syrian_bride,"  ""(***): [img]http://images.rottentomatoes.com/images/user/icons/icon14.gif[/img]\r\n\r\nInteresting throughout.  her community and her family forever."
564,rize,"  ""Lightweight offering that gives little insight into the characters in this movie.  ""Great documentary. Very inspiring  ""This movie is so powerful. The urban story of crumping leaves you breatheless.  ""Hard to believe it""s been ten years since I heard of krumping and clowning..."
565,worlds_fastest_indian," Worth your time.  Enjoyable and believable.  ""One of my all time favorites  ""great movie must watch"
566,the_perfect_crime_2005,"  ""Pitch-black twisted wicked comedy.  ""On this one you""re in for a blast,  ""Bizarre, but memorable."
567,three_times,"  ""Beautiful cinematography and acting but I have to admit that I only connected with the first segment  ""Beautifully shot, and an interesting point of view"
568,oldboy," No words to such a masterpiece  ""Beware of the things you say that are not your business.  ""A dangerously great film."
569,sin_city,"  ""One of the best comic adaptations to have been made. Can""t really say more about it.  ""One of my alltime greats! Directing,acting,this is a visionary movie!  ""The best comic movie that feels like i""m reading a comic book."
570,inside_deep_throat,"  ""Interesting look at the backflips trying  to get this movie into theaters,funny and entertaining.  ""Depressing and engrossing documentary about the phenomenally successful and controversial ""adult"" film.  ""Despite what you might perceive as being a shock-film, this was a really good documentary! Highly recommended!"
571,me_and_you_and_everyone_we_know,"  ""I ))<>(( this film  ""Pretentious in the extreme."
572,de_zaak_alzheimer,"  ""Stylish and engaging never runs out of steam.  ""one of the best Belgian movies ever made!  ""Very interesting concept...Well done"
573,13_tzameti,"  ""Gritty black and white thriller about russian roulette.  ""Despite original, I like the Hollywood remake one more."
574,1149496-1149496-red_eye,"  ""Good small movie, saw it for the cast  ""Once it picks up speed, you won""t be able to take your eyes off it.  ""Second half gets ridiculous as the innocent victim fights back like a trained killer."
575,beyond_the_gates,"  ""The topic was so big that even the film itself couldn""t contain it.  ""Pretty straightforward film about a truly horrific time that should not be forgotten.  ""Has strengths, but very obvious and relies heavily on hindsight and religion.  ""As good as it could have been considering the content"
576,aliens_of_the_deep,"  ""Lot of good docs but rarely one with the sheer enjoyment of new discovery like this one.A very fun voyage.  ""OMG, this movie is SO BORING. Even though it\""s less than an hour long, it just drags and drags. Nothing spectacular even happens until the very end. And then it\""s like, ""Finally!""  ""Very interesting and beautiful scenery. It""s the only good movie I have seen in science class."
577,threeextremes,"  ""This movie was twisted and made people surprised.  ""Not scary and very slow."
578,munich,"  ""It""s driven by plot rather than character, so Munich inevitably suffers because of this.  ""It""s good and certainly worth watching, but also overlong and a little anticlimactic.  ""Another great and well done historical drama that I will probably never watch again but I am glad I did watch it once."
579,layer_cake," Good story. Great acting  ""Too talky, and I don""t like the way the story unfolds.  ""One of my favorite movies with Daniel Craig. A must see for any fan of his. "
580,match_point,"  ""A night at the opera with a stab at social class.  ""I just found it boring and draggy with unrealistic British dialogue  ""I’m too tired to write a review, it’s late. But I stayed up for the movie so that’s a good indication of my enjoyment of it. "
581,dear_frankie,"  ""Poignant, unassuming, and gentle. Beautifully shot.  ""Fantastic, true and heartbreaking"
582,war_of_the_worlds,"  ""This movie sucks because it""s not funny, original, or romantic!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ""Pretty much as boring as you could imagine a end-of-the-world alien invasion action film to be.  ""the movie is great to be a scary"
583,lost_embrace," Nice visuals and good emotions drawn by the actors. Sophisticated for a comedy.  ""Suprisingly funny and authentic.. good pace movie that""s fun to watch  ""Genial, como todos los de la dupla Burman-Hendler...  ""Puaj, too slow, too long, kinda boring"
584,aristocrats,"  ""Proves that a one joke comedy can be both funny and interesting.  ""Surprisingly funny and entertaining documentary about the art of the comedian built around one joke.  ""Entertaining look at a comedian""s comedy classic."
585,1147812-warrior,"  ""A beautiful and affecting meditation on what it takes to bring about peace  ""Excellent!  You know a movie is amazing when you give a s**** about every character."
586,kontroll,"  ""surreal,thrill-ride and fun.  ""This movie is one of the reasons why I love film."
587,chronicles_of_narnia_lion_witch_wardrobe," Shit is traumatic I do not recommended seeing him get shaved rocked my core  ""A \nGreat movie, it""s heart felt and has great characters and great story and a story you can follow"
588,rock_school,"  ""Very powerful and moving, but it also rocks hard.  ""way better than school of rock  ""best giler....hahahahah"
589,poohs_heffalump_movie,"  ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGH! Innapropiate! Scary! God help me aaah.  ""Charming show your kids it is relaxing to watch   ""Short movie but great for all ages they will enjoy it I know I like it"
590,keane," Interesting piece but it was work to get through.  ""excellent, but so sad..."
591,wedding_crashers,"  ""Movie for a night you just want to good laugh.\n\nw/L  ""Best Comedy I have ever seen   ""Vaughn""s greatest performance; hysterical!  ""Brilliant film. Hilarious."
592,csa_the_confederate_states_of_america,"  ""waste of time. Not funny at all"
593,zathura_a_space_adventure,"  ""absolutely perfect made me climax on my screen!  ""Jumanji.......IN SPAAAAAAAAAACE!"
594,sisterhood_of_the_traveling_pants,"  ""i cried more than i should""ve  ""Pass the pants to me now?"
595,upside_of_anger,"  ""Lots of anger and yelling, not so convincing on the upside part.  ""touching funny powerful....  ""8/16/2015: An ok movie. Definitely a chick flick."
596,in_her_shoes,"  ""Family Problems and Sisters Problems !  ""Cameron Diaz was very sexy in this Movie..."
597,beautiful_country,"  ""A cut above the rest. An excellent film full of excitement, emotion and great depth.  ""A devastating journey full of determination.  ""Damien Nguyen does a really fantastic job in the main role.  ""Damien Nguyen does a really fantastic job in the main role."
598,land_of_the_dead,"  ""Land of the Dead is a best zombie horror sequel.  ""The cinematic equivalent of somebody sitting you down in calc class and explaining to you at great length that 2 + 2 =4  ""If you go in expecting this to be a mediocre movie it""s actually a pleasantly stupid flick  some of the action here feels a but hollow and almost like filler.\n\nA satisfactory film but not a great one."
599,syriana,"  ""Intriguing, great performances, a must watch!  ""It""s some kind of complex masterpiece. "
600,tropical_malady,"  ""Unusual film by an unusual filmmaker is a bit rambling.  ""The film evolves into something deeper, a story about the atavistic wildness within people."
601,pans_labyrinth," Great movie from beginning to end. Well worth watching.  ""bug movie was good. no english version doe  ""Another great Spanish paranormal!  How did they make Maribel look blah??  Great flick watch it and make your own interpretations.  ""Pan""s Labyrinth is creative and well blended between horror and beauty"
602,casino_royale,"  ""My fav yet. Chemistry between Bond & Vesper is amazing.  ""Why is he so serious all the time? Is he a robot? Is he the terminator? Why does he always look so bored?  ""A fun James Bond action movie"
603,the_queen,"  ""Decent watch, but it""s Helen Mirren""s performance that stands out as possibly her best.  ""this movie is so fucking boring and kind of confusing. England is stupid.  ""Wonderful film. I felt moved at times."
604,deliver_us_from_evil,"  ""Universal appeal must be paid !   ""these priests shouldnt be priests. they should be in jail  ""A very powerful film that people need to watch. "
605,children_of_men," One of the greatest movies of the 21st century and is criminally under talked about.  ""This may be the corniest sci fi movie ever made  ""Alfonso Cuarón shows with this film why he is one of the best directors today."
606,departed,"  ""Very entertaining with great performance and a excellent script that dont fall in obviusness  ""Amazing. Not the biggest fan of the ending but hey, not everything is peaches and cream. Excellent Movie."
607,war_tapes,"  ""Hard to listen to these guys.  ""Brutally Honest. Any person interested in the military should watch immediately."
608,mountain_patrol_2006,"  ""Shows humanity""s greatness and downfalls...  ""Very good, almost sad in it""s own way."
609,blindsight," the best was the kid describing the flight...  ""very good movie thought it was very inspirational, great camerawork, enjoyed the movie"
610,borat,"  ""Laugh out loud. A great follow-up to the original Borat film.  ""While it does stumble at times: ""Borat"" is a funny, original, and simply nutty film that I won\""t soon forget.  ""A total classic. Simultaneously a raucous comedy and awkward piece of societal commentary with a marvelous Cohen performance."
611,49_up," A great documentary.  ""another up doc entry"
612,little_miss_sunshine,"  ""Amusing and well developed film for all the family"
613,inconvenient_truth,"  ""Oh the bullshit and sanctimony.  ""Horrible propaganda that reminds me of a Nazi propaganda machine of the 1930s. "
614,letters_from_iwo_jima,"  ""You have to watch this movie in Japanese, you really have to!  ""More interesting than Flags of our Fathers.  ""i thought parts of it dragged but the story is powerful the acting quite good and the story emotional."
615,wordplay,"  ""Riveting up until the crossword convention nosedive."
616,the_lives_of_others,"  ""An out-of-the-ordinary espionage movie that delivers endearing characters and an interesting plot.  ""Very good movie. Intense, and profound. Great movie about the world of spying.  ""a very tense and touching story with a beautiful ending.  ""I watched this movie without any expectation.  but i was wrong. A class cult movie."
617,united_93,"  ""A very accurate and gripping film even though we know what happened"
